stay_date,direct_rate_usd,comparable_median_usd,gap_usd,comparable_count,competitor_rates,action,comparison_basis,source_url,retrieved_at,competitor_sources
2026-09-20,149,169.0,20.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-21,159,169.0,10.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-22,159,169.0,10.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-23,159,169.0,10.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-24,159,169.0,10.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-25,189,214.0,25.0,2,DEMO A: 209.00 | DEMO B: 219.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-26,189,214.0,25.0,2,DEMO A: 209.00 | DEMO B: 219.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-27,159,169.0,10.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-28,159,169.0,10.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-29,159,169.0,10.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-09-30,159,169.0,10.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-10-01,159,169.0,10.0,2,DEMO A: 159.00 | DEMO B: 179.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-10-02,189,214.0,25.0,2,DEMO A: 209.00 | DEMO B: 219.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
2026-10-03,189,214.0,25.0,2,DEMO A: 209.00 | DEMO B: 219.00,"Review a possible increase; confirm pickup, occupancy and demand before deciding a rate.","DEMO: one night, two adults, king room, tax included, no meals, refundable",synthetic,2026-09-05T15:00:00+00:00,DEMO A: synthetic; All terms match in this fictional example | DEMO B: synthetic; All terms match in this fictional example
